userId,venueId
521,4795
381,8555
491,3639
343,4146
753,4938
313,8702
129,316
842,12466
476,6849
1426,5324
1201,10705
213,1329
842,10822
494,6353
205,7828
1400,3427
1488,7894
428,116
819,11667
695,5023
226,13437
779,3411
1498,6721
268,8637
533,1944
124,3440
1307,5683
819,4059
1352,1287
54,5882
133,584
212,7118
111,4545
273,12963
81,1154
710,1593
133,2578
799,5458
819,4320
728,3160
506,6528
77,11247
249,3997
335,2195
53,12299
378,2386
442,10549
854,11531
138,5626
360,540
66,2159
975,11355
1174,2931
22,10413
1044,4660
1148,6637
703,3442
130,3920
135,6791
984,1535
133,2283
482,2172
295,350
489,12966
312,1907
41,872
537,135
638,319
1426,6701
19,7046
148,5335
576,5954
576,9100
956,4524
1198,9392
89,3060
887,6764
22,1923
346,6043
1346,893
350,1802
832,1637
452,651
534,5954
266,276
534,4309
143,2699
714,4530
568,276
73,4528
574,3798
303,746
1086,11119
486,4406
362,253
180,2283
498,3685
332,170
392,3658
354,7666
1080,6827
783,199
158,12318
865,6073
1440,8778
457,6801
583,7081
1346,3350
703,9895
446,9573
471,5905
1426,12566
576,10991
52,1299
210,3564
556,9198
242,10097
1232,12670
850,3933
1388,5503
1198,1094
211,5479
313,1061
257,11557
1251,8988
1060,10867
350,3489
1488,302
947,3323
829,358
776,147
434,4209
193,8893
956,4633
1307,5070
148,367
130,13115
490,10559
1167,2912
272,4564
223,11268
1307,1854
1508,7863
282,1751
177,1322
1426,6097
142,4631
777,4657
1346,4507
211,12133
831,12426
234,3718
531,8828
135,6313
1358,1321
854,1779
153,573
401,303
381,9706
1274,682
898,3080
470,9852
534,12638
506,11183
457,3064
256,2312
222,1111
1263,695
307,11565
392,8321
205,9670
446,12580
313,4243
1346,71
435,5912
189,3031
484,7549
551,10298
267,6122
103,3763
900,913
350,3498
956,4508
576,2101
401,3522
390,379
1274,2737
588,326
350,2060
1274,2119
446,4520
490,6547
476,68
101,4816
79,10440
392,7824
177,1225
725,9016
211,12920
1251,9755
446,402
329,4468
446,48
249,1321
211,4015
956,5244
212,1359
242,12651
1351,7398
153,8761
112,4070
442,10904
401,317
779,977
1351,2149
1107,4225
819,7576
477,5748
1198,13436
342,2792
1432,452
1414,2596
92,154
148,2955
1146,257
931,7271
1499,2155
745,12635
436,5056
416,267
401,200
1454,9939
130,224
661,8616
868,4064
703,173
1351,1044
536,10200
69,6218
124,1204
576,1518
98,5118
124,9645
908,4428
226,2239
1050,5630
111,1514
542,4914
25,4915
859,3576
436,1248
426,12559
573,8019
35,10197
446,7156
1174,6444
528,3753
130,5646
956,5071
434,642
408,9948
176,11936
177,1097
1440,4022
444,2681
576,357
1019,6601
53,11108
570,6138
1351,2674
908,13540
171,1845
282,156
457,4082
504,1340
887,1279
1014,3513
160,1232
355,4492
347,4555
577,509
175,6341
22,2025
526,4419
490,6092
607,3102
1282,3366
201,253
1125,6717
138,3767
515,7251
82,3621
85,897
819,11091
551,9802
898,481
308,6103
22,3228
239,13287
130,117
323,12090
1405,13329
157,933
599,4935
471,1000
227,3222
255,680
130,6024
366,8055
490,2745
116,2152
343,7190
423,4126
491,1564
1284,1377
13,1411
332,3849
452,325
1256,9376
1400,6545
534,10531
326,4830
865,3097
392,3057
652,8535
211,930
1444,2317
0,1899
456,2286
494,1192
77,167
1148,11027
1282,11636
515,156
582,6060
157,3359
446,13028
730,2511
555,92
1388,12631
486,1011
19,2815
842,1783
898,2959
116,3770
124,5212
1453,1626
1102,8873
680,13441
240,8293
97,3821
32,6715
326,8093
350,116
1113,6257
1284,510
491,717
576,11626
584,11338
85,380
4,1345
898,7109
341,422
222,1249
756,10268
302,2154
1274,4567
114,10178
335,4038
53,7948
956,9779
236,6118
401,8482
387,366
335,3522
533,4721
588,4096
81,7123
77,3986
486,7119
81,9059
578,3302
469,222
588,8541
537,4412
753,3274
741,11772
436,1832
956,253
96,2977
1482,1546
81,930
234,6238
437,3394
391,3629
170,210
19,5198
135,463
282,918
268,1576
141,8349
469,4496
363,919
116,5935
859,163
2,3697
1440,4343
312,833
819,9774
158,140
41,3594
533,12627
227,2787
180,4784
201,4823
1307,9471
338,486
71,10473
2,10184
898,7341
1307,525
435,3588
588,8291
358,3061
859,2687
130,3101
776,9728
1019,10916
779,2761
471,8824
956,2395
329,3264
584,11851
1102,9500
326,12469
191,4201
1198,11859
1356,7243
170,4188
326,5689
486,398
323,11824
584,3110
1274,478
111,1566
401,10745
491,11357
643,3055
346,2399
559,10594
552,12585
1353,10284
652,1353
119,7582
503,5253
956,5722
725,9132
997,2858
217,12424
163,3819
658,2147
751,1084
603,6114
1100,10170
484,6546
515,1907
756,1030
375,2745
786,1770
1453,12563
539,2155
576,1832
1312,8391
590,12651
392,10335
100,9968
446,481
495,10281
93,2796
658,11300
559,4553
472,11229
471,2485
242,2252
898,6663
52,229
831,7463
1019,8971
107,5553
10,4390
41,1565
534,11004
573,1144
446,724
460,7451
141,2590
360,5245
1174,12677
327,317
504,7202
469,8898
153,2107
985,7839
426,8168
255,10125
177,2734
740,12755
13,8041
237,4223
1107,6577
180,12373
158,7703
569,13721
354,8019
459,10585
480,4565
32,3293
906,7503
976,4284
